AHOLATRANS	Ahola Transport	AHOLATRANSSG	Ahola Transport Styckegods	AX, CZ, DK, EE, FI, HU, LT, LV, NO, PL, SE, SK	AX, CZ, DK, EE, FI, HU, LT, LV, NO, PL, SE, SK
AKKA	AkkaFRAKT	AKKADIST	AkkaFRAKT Distribution	SE	*
AKKA	AkkaFRAKT	AKKAKRAN	AkkaFRAKT Kran	SE	*
ASENDIA	Asendia	ASNCT	Asendia Country-tracked	DK, EE, FI, LT, LV, NO, SE	*
ASENDIA	Asendia	ASNFT	Asendia Fully-tracked	DK, EE, FI, LT, LV, NO, SE	AL, AT, AU, BE, BG, BR, CA, CH, CY, CZ, DE, DK, EE, ES, FI, FR, GB, GI, GR, HK, HR, HU, IE, IL, IN, IS, IT, JP, KH, KR, LB, LT, LU, LV, MC, MT, MY, NL, NO, NZ, PL, PT, RO, RS, RU, SA, SE, SG, SI, SK, TH, TR, TW, US, UY
ASENDIA	Asendia	ASNPR	Asendia Premium	DK, EE, FI, LT, LV, NO, SE	AT, BE, BG, CH, CZ, DE, DK, EE, ES, FI, FR, GB, GR, HU, IE, IT, LT, LU, LV, NL, PL, PT, RO, SE, SI, SK
BCMSE	Bring Citymail	BCMSEBLP	Bring Citymail Brevlådepaket	SE	SE
BCSE	Bring Cargo International AB	BCSEP	Bring Cargo International Partigods (14)	SE	*
BCSE	Bring Cargo International AB	BCSES	Bring Cargo International Styckegods (9)	SE	*
BCSED	Bring Cargo Sverige (inrikes)	BCSEDSTD	Bring Cargo Inrikes (SE)	SE	SE
BEST	Best Transport	BESTHL	Best Hemleverans 18:00-22:00	SE	SE
BEST	Best Transport	BESTHLD	Best Hemleverans dag 08:00-17:00 Flex	SE	*
BEST	Best Transport	BESTHLM	Best Hemleverans förmiddag 09:00-13:00 Flex	SE	*
BEST	Best Transport	BESTHLE	Best Hemleverans kväll 18:00-22:00 Flex	SE	*
BOX	Bring Express	BOXBD	Bring Express Business Distribution	DK, NO, SE	DK, NO, SE
BOX	Bring Express	BOXBDP	Bring Express Business Distribution Pallet	DK, NO, SE	DK, NO, SE
BOX	Bring Express	BOXCA	Bring Express Courier Ad-Hoc	DK, NO, SE	DK, NO, SE
BOX	Bring Express	BOXCD	Bring Express Courier Distribution	DK, NO, SE	DK, NO, SE
BOX	Bring Express	BOXHD	Bring Express Home Delivery	DK, NO, SE	DK, NO, SE
BOX	Bring Express	BOXHDR	Bring Express Home Delivery Return	DK, NO, SE	DK, NO, SE
BOX	Bring Express	BOXPL	Bring Express Pickup Large	NO, SE	NO, SE
BOX	Bring Express	BOXSHD	Bring Express Store Home Delivery	DK, NO, SE	DK, NO, SE
BOX	Bring Express	BOXSHDR	Bring Express Store Home Delivery Return 	DK, NO, SE	DK, NO, SE
BP	Bring Parcels Norge (inrikes)	BPBDD	Bring Bedriftspakke	NO	NO, SJ
BP	Bring Parcels Norge (inrikes)	BPBE09	Bring Bedriftspakke Ekspress over natt - 0900	NO	NO, SJ
BP	Bring Parcels Norge (inrikes)	BPSP	Bring Klimanøytral Servicepakke	NO	NO, SJ
BP	Bring Parcels Norge (inrikes)	BPMP	Bring Minipakken	NO	NO, SJ
BP	Bring Parcels Norge (inrikes)	BPPD	Bring Pakke på Døren	NO	NO, SJ
BUDBEE	Budbee	BUDBEESTD	Budbee	SE	SE
BUDBEE	Budbee	BUDBEEEXPRESS	Budbee Express Delivery	SE	SE
BUDETT	Budcompaniett	BUDETT3TIM	Budcompaniet 3 timmars bud	SE	SE
BUDETT	Budcompaniett	BUDETTPANIK	Budcompaniet Panikbud	SE	SE
BUDETT	Budcompaniett	BUDETTTUR	Budcompaniet Turbud	SE	SE
CG	Bussgods	CGB	Bussgods	SE	FI, SE
DACHSER	Dachser	DACTFIX	Dachser Targofix	DK, PL, SE	*
DACHSER	Dachser	DACTFIX10	Dachser Targofix 10:00	DK, PL, SE	*
DACHSER	Dachser	DACTFIX12	Dachser Targofix 12:00	DK, PL, SE	*
DACHSER	Dachser	DACTFLEX	Dachser Targoflex	DK, PL, SE	*
DACHSER	Dachser	DACTSPEED	Dachser Targospeed	DK, PL, SE	*
DACHSER	Dachser	DACTSPEED10	Dachser Targospeed 10:00	DK, PL, SE	*
DACHSER	Dachser	DACTSPEED12	Dachser Targospeed 12:00	DK, PL, SE	*
DACHSER	Dachser	DACTSPEEDPLUS	Dachser Targospeed Plus	DK, PL, SE	*
DANX	DANX	DANXAIR	DANX Air	*	*
DANX	DANX	DANXSTD	DANX Road	*	*
DFM	Danske Fragtmænd	DFMBP	Danske Fragtmænd Bilpakke	DK, SE	DE, DK, SE
DFM	Danske Fragtmænd	DFMEP	Danske Fragtmænd Erhvervsbilpakke	DK, SE	DE, DK, SE
DFM	Danske Fragtmænd	DFMSG	Danske Fragtmænd Styckegods	DK, SE	DE, DK, SE
DFM	Danske Fragtmænd	DFMVP	Danske Fragtmænd Volumepakke	DK, SE	DE, DK, SE
DGF	DHL Global Forwarding	DGFAIR	DHL Global Forwarding Air Freight	*	*
DGF	DHL Global Forwarding	DGFAIRPLUS	DHL Global Forwarding Air Freight PLUS	*	*
DHLAIR	DHL Express	DADOK	DHL Express 09:00 (Inrikes)	DK, EE, SE	DK, EE, SE
DHLAIR	DHL Express	DASE	DHL Express 09:00 (Tullfri)	DK, EE, FI, SE	*
DHLAIR	DHL Express	DASECD	DHL Express 09:00 (Tullpliktigt)	DK, EE, FI, SE	*
DHLAIR	DHL Express	DATDL	DHL Express 10:30 (Tullfri)	DK, EE, FI, SE	US
DHLAIR	DHL Express	DATDM	DHL Express 10:30 (Tullpliktigt)	DK, EE, FI, SE	US
DHLAIR	DHL Express	DADOT	DHL Express 12:00 (Inrikes)	DK, EE, SE	DK, EE, SE
DHLAIR	DHL Express	DAME	DHL Express 12:00 (Tullfri)	DK, EE, FI, SE	*
DHLAIR	DHL Express	DAMECD	DHL Express 12:00 (Tullpliktigt)	DK, EE, FI, SE	*
DHLAIR	DHL Express	DAESU	DHL Express Economy Select (Tullfri)	EE, FI, SE	AT, BE, BG, CZ, DE, DK, EE, ES, FI, FR, GB, GR, HR, HU, IE, IT, LT, LU, LV, MC, NL, PL, PT, RO, SE, SI, SK
DHLAIR	DHL Express	DAESI	DHL Express Economy Select (Tullpliktigt)	EE, FI, SE	AD, AX, CH, GI, LI, NO, SM
DHLAIR	DHL Express	DAXPD	DHL Express Envelope (Tullfri)	DK, EE, FI, SE	*
DHLAIR	DHL Express	DADOM	DHL Express Worldwide (Inrikes)	DK, EE, FI, SE	DK, EE, FI, SE
DHLAIR	DHL Express	DAECX	DHL Express Worldwide (Tullfri inom EU)	DK, EE, FI, PL, SE	AT, BE, BG, CY, CZ, DE, DK, EE, ES, FI, FR, GB, GR, HR, HU, IE, IT, LT, LU, LV, MC, MT, NL, PL, PT, RO, SE, SI, SK
DHLAIR	DHL Express	DADOX	DHL Express Worldwide (Tullfri, ej EU)	DK, EE, FI, PL, SE	*
DHLAIR	DHL Express	DAWPX	DHL Express Worldwide (Tullpliktigt)	DK, EE, FI, PL, SE	*
DHLAIR	DHL Express	DADOMR	DHL Express Worldwide Return (Domestic)	DK, EE, FI, SE	DK, EE, FI, SE
DHLEC	DHL Freight Euroconnect	ASU2	DHL Euroconnect	AD, AT, AX, BE, BG, CH, CZ, DE, DK, EE, ES, FI, FR, GB, GE, GI, GR, HR, HU, IE, IT, LT, LU, LV, MA, MC, MK, NL, NO, PL, PT, RO, RS, RU, SE, SI, SK, SM, TR, UA	AD, AT, AX, BE, BG, CH, CZ, DE, DK, EE, ES, FI, FR, GB, GE, GI, GR, HR, HU, IE, IT, LT, LU, LV, MA, MC, MK, NL, NO, PL, PT, RO, RS, RU, SE, SI, SK, SM, TR, UA
DHLEC	DHL Freight Euroconnect	ASUN	DHL Nordic Pallet	SE	DK, EE, FI, LT, LV, NO
DHLECP	DHL Freight Euroconnect Plus (kräver 8-ställigt kundnummer som inleds med 8480)	ASUP2	DHL Euroconnect Plus	SE	AT, AX, BE, BG, CH, CZ, DE, DK, EE, ES, FI, FR, GB, GR, HU, IE, IT, LT, LU, LV, NL, NO, PL, PT, RO, SI, SK
DHLROAD	DHL Freight	AEX	DHL Paket	SE	SE
DHLROAD	DHL Freight	AEXI	DHL Paket	SE	DK, EE, FI, LT, LV, NO
DHLROAD	DHL Freight	ASP2	DHL Pall	SE	SE
DHLROAD	DHL Freight	APC	DHL Parcel Connect	SE	AT, BE, DE, EE, LT, LU, LV, NL, NO, PL
DHLROAD	DHL Freight	APCS	DHL Parcel Connect (via Ombud)	SE	AT, BE, DE, DK, EE, FI, LT, LU, LV, NL, NO, PL
DHLROAD	DHL Freight	APCR	DHL Parcel Return Connect	SE	AT, BE, DE, DK, EE, FI, LT, LU, LV, NL, NO, PL
DHLROAD	DHL Freight	ASWP2	DHL Parti	SE	SE
DHLROAD	DHL Freight	ASPO	DHL Service Point	SE	SE
DHLROAD	DHL Freight	ASPOR	DHL Service Point Retur	SE	SE
DHLROAD	DHL Freight	ASWS2	DHL Stycke	SE	SE
DHLSPCOD	DHL Freight ServicePoint Efterkrav	ASPOC	DHL Service Point C.O.D.	SE	SE
DSVD	DSV Road (inrikes)	DSVDEPL	DSV Road e-pallet	SE	SE
DSVD	DSV Road (inrikes)	DSVDEPCL	DSV Road e-parcel	SE	SE
DSVD	DSV Road (inrikes)	DSVDECO	DSV Road ECO	SE	SE
DSVD	DSV Road (inrikes)	DSVDF10	DSV Road F10	SE	SE
DSVD	DSV Road (inrikes)	DSVDPG	DSV Road Partigods	SE	SE
DSVD	DSV Road (inrikes)	DSVDSG	DSV Road Styckegods	SE	SE
DSVDK	DSV Danmark	DSVDKPCL	DSV Parcel	DK, SE	*
DSVDK	DSV Danmark	DSVDKFULL	DSV Road Full load	DK, SE	AL, AN, AT, BA, BE, BG, BY, CH, CZ, DE, DK, EE, ES, FI, FR, GB, GR, HR, HU, IE, IT, LI, LT, LU, LV, MC, ME, MK, NL, NO, PL, PT, RO, RS, RU, SE, SI, SK, TR, UA, VA
DSVDK	DSV Danmark	DSVDKPART	DSV Road Part load	DK, SE	AL, AN, AT, BA, BE, BG, BY, CH, CZ, DE, DK, EE, ES, FI, FR, GB, GR, HR, HU, IE, IT, LI, LT, LU, LV, MC, ME, MK, NL, NO, PL, PT, RO, RS, RU, SE, SI, SK, TR, UA, VA
DSVDK	DSV Danmark	DSVDKGRP	DSV Road Stykgods	DK, SE	AL, AN, AT, BA, BE, BG, BY, CH, CZ, DE, DK, EE, ES, FI, FR, GB, GR, HR, HU, IE, IT, LI, LT, LU, LV, MC, ME, MK, NL, NO, PL, PT, RO, RS, RU, SE, SI, SK, TR, UA, VA
